2016-02-25 11:58:06,986 [Worker-77] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-context/4.1.1.RELEASE/spring-context-4.1.1.RELEASE.jar
2016-02-25 11:58:07,016 [Worker-77] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.1.1.RELEASE/spring-expression-4.1.1.RELEASE.jar
2016-02-25 11:58:07,188 [Worker-77] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.1.1.RELEASE/spring-expression-4.1.1.RELEASE.jar
2016-02-25 11:58:07,734 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframeword:spring-webmvc:jar:4.1.1.RELEASE is missing, no dependency information available
2016-02-25 11:58:07,809 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframeword:spring-webmvc:jar:4.1.1.RELEASE is missing, no dependency information available
2016-02-25 11:58:08,931 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:58:08,937 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\main\resources
2016-02-25 11:58:08,944 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:58:08,954 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\test\resources
2016-02-25 11:58:08,959 [Worker-73] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ServletJSPExample
2016-02-25 11:58:08,959 [Worker-73] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ServletJSPExample
2016-02-25 11:58:08,964 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:58:46,312 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframeword:spring-webmvc:jar:4.1.1.RELEASE is missing, no dependency information available
